article_id,title,year,issue,volume,pages,volumn_page,pdf_url,doi
art11904,应用血清学及13C-尿素呼吸试验对幽门螺杆菌家庭感染状况的研究,2000,01,2,27-29,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11904,
art11905,先天性食道闭锁25例分析,2000,01,2,30-32,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11905,
art11901,卡马西平致大疱表皮松解萎缩坏死型药疹1例,2000,01,2,32-32,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11901,
art11906,《早期婴儿气质量表》修订与测试报告,2000,01,2,33-34,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11906,
art11907,窒息围产儿血液阴离子间隙状态的探讨,2000,01,2,35-37,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11907,
art11908,儿童初发急性淋巴细胞白血病血清前白蛋白测定及意义,2000,01,2,38-39,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11908,
art11909,小儿先天性甲状腺功能减退症46例临床分析,2000,01,2,40-40,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11909,
art11889,婴儿继发性乳糖不耐受54例临床分析,2000,01,2,41-42,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11889,
art11902,B超在新生儿及婴儿颅脑疾病中的诊断价值,2000,01,2,43-44,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11902,
art11890,新疆奎屯地区不同民族婴儿高胆红素血症发病状况分析,2000,01,2,45-45,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11890,
art11895,持续静脉滴注超大剂量安定抢救重度毒鼠强中毒儿童4例,2000,01,2,46-47,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11895,
art11916,以酮症酸中毒为首发症状的小儿糖尿病20例分析,2000,01,2,48-48,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11916,
art11903,支气管哮喘患儿尿微量蛋白测定及意义,2000,01,2,49-50,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11903,
art11917,新生儿窒息及脑损伤后心肌损害的研究,2000,01,2,51-52,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11917,
art11910,新生儿缺氧缺血性脑病并发肺出血的有关因素探讨,2000,01,2,53-53,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11910,
art11911,思密达治疗婴幼儿疱疹性口炎临床观察,2000,01,2,54-54,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11911,
art11912,赖氨匹林退热疗效观察,2000,01,2,55-56,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11912,
art11913,克隆氏病合并再生障碍性贫血1例,2000,01,2,56-56,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11913,
art11914,新生儿撤药综合征研究近况,2000,01,2,57-62,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11914,
art11859,中国汉族儿童ALAD基因型频率分布特点初探,2000,02,2,65-67,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11859,
art11860,支气管哮喘患儿T细胞亚群和免疫球蛋白变化,2000,02,2,68-70,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11860,
art11861,脐血CD3AK细胞和其培养上清诱导K562细胞凋亡,2000,02,2,71-73,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11861,
art11863,"CMV和HCV肝炎婴儿血清IFN-α,IL-8,TNF-α和NO的水平变化",2000,02,2,74-75,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11863,
art11864,内皮素-1在新生儿缺氧缺血性脑病中的变化及意义,2000,02,2,76-78,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11864,
art11875,正常小儿内眦指数与其临床应用,2000,02,2,79-81,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11875,
art11876,大鼠百日咳菌液脑水肿脑组织肿瘤坏死因子-α变化,2000,02,2,82-85,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11876,
art11881,脑缺氧缺血后热休克蛋白基因的表达及地塞米松对其的调节,2000,02,2,86-90,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11881,
art11882,大剂量地塞米松降低缺氧缺血性新生大鼠脑MCP-1蛋白表达,2000,02,2,91-94,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11882,
art11865,新生儿半椎体畸形及蝶形椎体畸形1例,2000,02,2,94-94,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11865,
art11886,癫痫儿童及其家长社会心理状态研究,2000,02,2,95-98,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11886,
art11866,郎格罕细胞组织细胞增生症42例临床分析,2000,02,2,99-100,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11866,
art11867,新生儿先天性巨细胞病毒感染15例报告,2000,02,2,101-102,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11867,
art11862,小儿恶性组织细胞病27例报告,2000,02,2,103-104,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11862,
art11877,肺表面活性物质治愈早产儿肺透明膜病12例,2000,02,2,105-106,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11877,
art11878,经颅多普勒检测儿童偏头痛的临床研究,2000,02,2,107-108,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11878,
art11868,大剂量维生素C佐治婴儿颅内出血,2000,02,2,109-109,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11868,
art11879,原发性肾病综合征合并急性肾功能衰竭临床观察,2000,02,2,110-111,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11879,
art11880,快速脱敏治疗变应性哮喘近期疗效观察,2000,02,2,112-113,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11880,
art11885,活菌制剂治疗婴幼儿轮状病毒性肠炎,2000,02,2,112-123,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11885,
art11883,纳洛酮治疗中重度新生儿缺氧缺血性脑病的疗效观察,2000,02,2,114-114,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11883,
art11884,中药佐治新生儿高胆红素血症36例疗效观察,2000,02,2,115-116,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11884,
art11869,小儿流行性腮腺炎880例临床分析,2000,02,2,117-118,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11869,
art11870,苯巴比妥钠治疗新生儿缺氧缺血性脑病患儿血糖的变化,2000,02,2,119-119,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11870,
art11871,100例营养不良并肠炎临床分析及治疗体会,2000,02,2,120-120,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11871,
art11872,儿童抗精神病药物急性中毒26例早期误诊分析,2000,02,2,121-121,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11872,
art11873,医学论文文题翻译中的常见问题,2000,02,2,125-125,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11873,
art11874,新生儿窒息后胃肠功能紊乱与合理喂养,2000,02,2,126-128,https://www.zgddek.com/CN/Y2000/V2/I02,https://www.zgddek.com/CN/PDF/11874,
art11800,新生儿有限的免疫球蛋白重链可变区基因多样性,2000,03,2,129-131,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11800,
art11802,早期微量喂养对危重症新生儿胃肠道动力的影响,2000,03,2,132-135,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11802,
art11804,生理盐水与白蛋白部分换血治疗新生儿红细胞增多症对照研究,2000,03,2,136-138,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11804,
art11812,新生儿缺氧缺血性脑病血浆D-二聚体的动态观察,2000,03,2,139-141,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11812,
art11807,儿童难治性肾病综合征小管间质损害的分析,2000,03,2,142-144,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11807,
art11808,小儿膀胱输尿管返流的临床研究,2000,03,2,145-147,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11808,
art11813,脑电图高峰节律紊乱的临床意义及其变异型,2000,03,2,148-151,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11813,
art11814,普米克气雾剂治疗儿童哮喘疗效观察,2000,03,2,152-154,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11814,
art11817,儿童病毒性肝炎感染模式的临床研究,2000,03,2,155-157,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11817,
art11818,新生儿缺氧缺血性脑病血清电解质和渗透压改变,2000,03,2,158-161,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11818,
art11801,主动脉球囊损伤大鼠血浆内皮素及胰岛素样生长因子-Ⅰ的动态改变,2000,03,2,162-164,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11801,
art11815,重症肺炎患儿的血小板参数变化及复方丹参的佐治效果,2000,03,2,165-166,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11815,
art11816,特发性血小板减少性紫癜免疫球蛋白和T细胞亚群等动态观察及其临床意义,2000,03,2,167-168,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11816,
art11819,过敏性紫癜患儿血清一氧化氮的改变,2000,03,2,169-169,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11819,
art11820,静脉滴注免疫球蛋白治疗病毒性心肌炎临床疗效观察,2000,03,2,170-171,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11820,
art11809,多种微量元素佐治小儿反复呼吸道感染的疗效及免疫学观察,2000,03,2,172-173,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11809,
art11810,母婴乙型肝炎病毒DNA定量的相关性研究,2000,03,2,174-175,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11810,
art11821,新生儿窒息出现低钙血症的危险因素分析,2000,03,2,176-177,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11821,
art11822,新生儿康复箱治疗新生儿缺氧缺血性脑病的临床观察,2000,03,2,178-179,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11822,
art11823,应用新生儿行为神经测定及脑CT判断新生儿缺氧缺血性脑病的预后,2000,03,2,180-183,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11823,
art11824,新生儿呼吸衰竭时氧合功能的改变,2000,03,2,182-183,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11824,
art11825,脑活素与高压氧联合治疗新生儿缺氧缺血性脑病疗效观察,2000,03,2,184-185,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11825,
art11826,麝香止痛膏与维生素E外敷治疗新生儿硬肿症56例疗效观察,2000,03,2,186-187,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11826,
art11811,足月新生儿缺氧缺血性脑病的行为神经评估及意义,2000,03,2,188-188,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11811,
art11854,凝血酶 甲氰咪胍治疗新生儿上消化道出血临床观察,2000,03,2,190-191,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11854,
art11828,小儿肾功能衰竭血液透析18例临床分析,2000,03,2,192-193,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11828,
art11829,巨细胞病毒感染对儿童肾病综合征的影响初探,2000,03,2,194-196,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11829,
art11855,婴儿脐茸的CO2激光治疗效果观察,2000,03,2,196-196,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11855,
art11830,胸腺肽预防原发性肾病综合征患儿感染的临床观察,2000,03,2,197-199,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11830,
art11856,蛲虫膏相关癫痫1例报告,2000,03,2,199-199,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11856,
art11831,哮喘患儿缓解期气道反应性测定,2000,03,2,200-200,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11831,
art11832,哮喘持续状态67例临床分析,2000,03,2,201-202,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11832,
art11833,儿童哮喘吸入激素治疗后的随访观察,2000,03,2,203-204,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11833,
art11834,东茛菪碱治疗迁延性肺炎疗效观察,2000,03,2,205-205,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11834,
art11857,阿托品超声雾化吸入辅助治疗毛细支气管炎32例的疗效观察,2000,03,2,206-207,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11857,
art11835,更昔洛韦治疗小儿巨细胞病毒性肝炎,2000,03,2,208-210,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11835,
art11836,锌盐治疗肝豆状核变性的远期随访报告,2000,03,2,211-212,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11836,
art11837,142例儿童急性中毒临床分析,2000,03,2,213-214,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11837,
art11838,儿童重症脑室出血治疗体会,2000,03,2,215-216,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11838,
art11839,伪膜性小肠结肠炎17例临床分析,2000,03,2,217-218,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11839,
art11840,儿童偏头痛的经颅多普勒脑血流监测,2000,03,2,219-221,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11840,
art11841,135例小儿尸体解剖诊断与临床诊断关系分析,2000,03,2,222-224,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11841,
art11842,丁胺卡那毒素致严重血尿2例,2000,03,2,224-224,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11842,
art11843,运动发育障碍早期干预效果的研究,2000,03,2,225-226,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11843,
art11844,夏秋季病毒性脑炎临床特点分析,2000,03,2,227-227,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11844,
art11845,46例婴幼儿气道异物误诊分析,2000,03,2,228-229,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11845,
art11846,游泳池暴发流行咽结合膜热40例,2000,03,2,230-230,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11846,
art11847,冬虫夏草 黄芪对乙肝表面抗原阳性转阴的研究,2000,03,2,231-232,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11847,
art11848,9号头皮针胸骨骨髓穿刺54例体会,2000,03,2,233-233,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11848,
art11849,不典型起病的小儿结核病5例分析,2000,03,2,234-235,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11849,
art11850,胸膜肺母细胞瘤1例,2000,03,2,236-236,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11850,
art11851,IGF轴与胎儿生长调节,2000,03,2,237-238,https://www.zgddek.com/CN/Y2000/V2/I03,https://www.zgddek.com/CN/PDF/11851,
art11794,胆红素诱导原代培养神经细胞内Ca2+含量的变化及MgSO4的拮抗作用,2000,04,2,241-243,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11794,
art11795,血红素类物质与哮喘发作关系的初步探讨,2000,04,2,244-247,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11795,
art11796,小儿上消化道出血100例胃镜检查分析,2000,04,2,248-249,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11796,
art11798,尿RBP NAG检测在早期诊断过敏性紫癜肾小管损伤的临床意义,2000,04,2,250-252,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11798,
art11792,胡桃夹现象误诊1例,2000,04,2,252-252,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11792,
art11767,新生大鼠脑缺氧缺血后迟发性细胞死亡的研究,2000,04,2,256-259,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11767,
art11797,肺表面活性物质蛋白A的提纯及其表面活性功能分析,2000,04,2,260-262,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11797,
art11768,新生大鼠缺氧缺血性脑损伤药物干预的研究,2000,04,2,263-266,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11768,
art11774,神经性厌食症儿童的个性分析,2000,04,2,270-271,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11774,
art11775,抚育因素对儿童反复呼吸道感染的影响,2000,04,2,272-273,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11775,
art11776,血管瘤血小板减少综合征2例,2000,04,2,274-274,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11776,
art11777,新生儿呼吸暂停与缺氧性脑损伤关系的研究,2000,04,2,275-276,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11777,
art11778,以肾脏损害为首发表现的肝豆状核变性15例,2000,04,2,277-278,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11778,
art11779,幼年型类风湿性关节炎38例临床观察,2000,04,2,279-280,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11779,
art11780,儿童脑脓肿32例诊治体会,2000,04,2,281-282,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11780,
art11781,新生儿低血糖78例临床分析,2000,04,2,283-284,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11781,
art11782,18例尿毒症患儿心脏彩色多普勒超声表现,2000,04,2,285-286,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11782,
art11769,小儿异位阑尾炎诊治36例报告,2000,04,2,287-288,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11769,
art11770,35例小儿真菌性肺炎临床和病理分析,2000,04,2,289-290,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11770,
art11771,鼻塞式CPAP在50例极低出生体重儿的临床应用分析,2000,04,2,291-292,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11771,
art11772,71例咳嗽变异性哮喘患儿肺功能改变及意义,2000,04,2,293-294,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11772,
art11784,母亲孕期合并症对围产儿的影响(附19例分析),2000,04,2,295-296,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11784,
art11785,小儿Prader-Willi综合征1例报告——附临床及遗传学诊断,2000,04,2,297-299,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11785,
art11786,高原藏族新生儿缺氧缺血性脑病70例血浆心钠素动态变化特点,2000,04,2,300-300,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11786,
art11787,论问诊为小儿四诊之首,2000,04,2,301-302,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11787,
art11788,医学论文英文摘要中的数字表达,2000,04,2,303-304,https://www.zgddek.com/CN/Y2000/V2/I04,https://www.zgddek.com/CN/PDF/11788,
art11739,中枢神经系统感染患儿血浆和脑脊液β-内啡肽的变化及临床意义,2000,05,2,305-307,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11739,
art11740,年龄依赖性癫痫性脑病患儿的血清细胞因子变化,2000,05,2,308-310,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11740,
art11742,新生儿胎粪吸入综合征临床分型与特点的初步探讨,2000,05,2,311-314,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11742,
art11743,窒息新生儿尿酶改变及与外周血白细胞计数的关系,2000,05,2,315-316,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11743,
art11741,新生儿肾上腺皮质囊性变临床意义探讨,2000,05,2,317-319,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11741,
art11749,新生儿先天性心脏病患病率的调查和孕妇增补叶酸的预防效果,2000,05,2,320-322,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11749,
art11750,左旋甲状腺素钠替代治疗小儿甲状腺功能减低症疗效观察,2000,05,2,323-325,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11750,
art11757,清开灵对大鼠谷氨酸神经毒性脑水肿时突触体游离钙的影响,2000,05,2,325-328,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11757,
art11751,经全反维甲酸诱导和未诱导的HL-60细胞基因的差异展示分析,2000,05,2,329-332,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11751,
art11758,PCR测定血中柯萨奇病毒B RNA对确定病毒性心肌炎病原诊断的价值,2000,05,2,333-335,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11758,
art11764,石家庄市儿童Ⅰ型糖尿病发病率调查,2000,05,2,336-338,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11764,
art11752,小儿特殊情况下腹股沟嵌顿疝手法复位的体会,2000,05,2,339-339,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11752,
art11744,小儿先天性胆管扩张症26例报告,2000,05,2,340-341,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11744,
art11745,新生儿行为神经测定对高压氧治疗新生儿缺氧缺血性脑病的评价,2000,05,2,342-343,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11745,
art11746,18例窒息新生儿高血糖与pH值及预后关系探讨,2000,05,2,344-344,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11746,
art11747,高压氧综合治疗新生儿缺氧缺血性脑病32例,2000,05,2,345-346,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11747,
art11748,丙种球蛋白辅助治疗红细胞G-6-PD缺陷所致新生儿黄疸疗效观察,2000,05,2,347-348,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11748,
art11753,以急性肾功能衰竭为首发表现的川崎病1例,2000,05,2,348-348,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11753,
art11759,婴幼儿单纯疱疹病毒性脑炎临床分析,2000,05,2,349-350,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11759,
art11760,儿童白血病高白细胞血症临床诊治研究,2000,05,2,351-352,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11760,
art11761,儿童肝豆状核变性肾脏损害17例临床分析,2000,05,2,353-354,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11761,
art11762,哮喘儿童血清可溶性白细胞介素6受体水平的研究,2000,05,2,355-355,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11762,
art11763,儿童咳嗽变异性哮喘55例肺功能改变与临床表现,2000,05,2,356-357,https://www.zgddek.com/CN/Y2000/V2/I05,https://www.zgddek.com/CN/PDF/11763,
